No.,Time Detected,Endpoint,IP Address,Type,Threat,Infected File,Time Created ,File MD5,Status,Time Fixed,Engine,Antivirus database version,Department
688,01/11/2024 16:30,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Save.a,c:\program files (x86)\medweb\plugin\vcruntime140.dll,09/06/2016 22:46,B38BC9FC8DDF1764793698BCB0106E95,Fixed successfully.,01/11/2024 16:30,Sangfor Engine Zero,20180800000000.0,EME
689,01/11/2024 13:52,5F-PC-083,172.22.80.244,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,ADC
690,01/11/2024 13:36,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\windows\temp\onedrive.exe,01/09/2023 1:31,08B5889AF26C2C16AC90F99F5B36481C,Pending,01/11/2024 13:36,Sangfor Engine Zero,20241000000000.0,RIS-PACS
691,01/11/2024 13:36,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,30/08/2023 3:38,65E7F6E26F792FA94E8AF5371FD6331A,Pending,01/11/2024 13:36,Sangfor Engine Zero,20241000000000.0,RIS-PACS
692,01/11/2024 13:36,hpkkplazadb,172.22.36.13,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,14/02/2024 6:18,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,RIS-PACS
693,01/11/2024 13:23,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Save.a,c:\program files (x86)\common files\adobe\arm\1.0\armsvc.exe,31/07/2024 10:15,2270BFB1C9F2FCDEB8EB10F60BBC4CF6,Fixed successfully.,01/11/2024 13:23,Sangfor Engine Zero,20180800000000.0,EME
694,01/11/2024 13:23,GF-PC-080,172.22.59.145,Others,Suspicious.Win32.Save.a,c:\program files (x86)\medweb\plugin\mwipcserver.exe,17/11/2017 14:14,691582FC66E06644D956443DAF5D4ACB,Fixed successfully.,01/11/2024 13:23,Sangfor Engine Zero,20180800000000.0,EME
695,01/11/2024 13:15,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,01/11/2024 12:49,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,01/11/2024 13:15,File Reputation Database,20180800000000.0,EME
696,01/11/2024 13:15,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\program files\common files\system\symsrv.dll,01/11/2024 12:49,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,01/11/2024 13:15,File Reputation Database,20180800000000.0,EME
697,01/11/2024 13:13,4F-PC-027,172.22.61.195,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,WPM & WPS
